timestamp	date	time	Kappa	Eacc	std Eacc	Qo	std Qo	Pinc_correct	std Pinc_correct	Pref_correct	std Pref_correct	Pt_correct	std Pt_correct	B*	std B*	QL	std QL	Q0*	std Q0*	Ploss	std Ploss	B1	std B1	B2	std B2	Qext1	std Qext1	Qext2	std Qext2	Frequency [Hz]	tau	RadTop [mR/hr]	RadBot [mR/hr]	Pi_meas	Pr_meas	Pt_meas	ci	cr	ct	PHOMA_meas	PHOMB_meas	cHOMA	cHOMB	PHOMA_correct	std PHOMA_correct	PHOMB_correct	std PHOMB_correct	Qext_HOMA	std Qext_HOMA	Qext_HOMB	std Qext_HOMB	PHOMC_meas	PHOMD_meas	cHOMC	cHOMD	PHOMC_correct	std PHOMC_correct	PHOMD_correct	std PHOMD_correct	Qext_HOMC	std Qext_HOMC	Qext_HOMD	std Qext_HOMD	Dwr Temp from P	Pres 0-100T	Pres 0-1000T	TcavTop [K]	TcavUpMid[K]	TcavLoMid[K]	TcavBot[K]	AUX_RTD1[K]	AUX_RTD2[K]	AUX_RTD3[K]	AUX_RTD4[K]	
3631212945.255	2019-01-24	16:15:45	93.117	4.50418875E+0	4.41476965E-1	2.13940529E+10	4.35271915E+9	1.29242832E-1	1.00327473E-2	1.87410615E-2	1.45799084E-3	1.13581603E-3	8.81818341E-5	4.48438522E-1	0.00000000E+0	1.46186043E+10	2.97910255E+9	1.00926646E+10	2.06002153E+9	1.09365954E-1	1.01385172E-2	4.53095763E-1	1.68284212E-2	1.03854626E-2	2.82121214E-3	4.72175081E+10	9.76537974E+9	2.06000000E+12	3.70800000E+11	1.28648663E+9	2.07205527E+0	1.33320688E-2	0.00000000E+0	4.13505741E-5	1.48921213E-6	1.55885082E-5	3.12553900E+3	1.25845480E+4	7.28623940E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	4.35638987E+0	1.05865679E+2	8.60579468E+2	4.34500000E+0	4.34600000E+0	4.30100000E+0	4.26600000E+0	4.36900000E+0	4.36730000E+0	4.37050000E+0	4.37240000E+0
3631212969.325	2019-01-24	16:16:09	93.117	3.95269462E+0	3.87426277E-1	2.18240418E+10	4.44219025E+9	9.77561553E-2	7.58872410E-3	1.43169442E-2	1.11460261E-3	8.74704486E-4	6.79141366E-5	4.46450295E-1	0.00000000E+0	1.49298303E+10	3.04393585E+9	1.03217030E+10	2.10777402E+9	8.25645066E-2	7.67044228E-3	4.51180076E-1	1.68874829E-2	1.05941950E-2	2.87863715E-3	4.83710228E+10	1.00107958E+10	2.06000000E+12	3.70800000E+11	1.28648670E+9	2.07205527E+0	1.42142056E-2	0.00000000E+0	3.12765751E-5	1.13766058E-6	1.20048826E-5	3.12553900E+3	1.25845480E+4	7.28623940E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	4.35626461E+0	1.05865679E+2	8.60482005E+2	4.34500000E+0	4.34600000E+0	4.30100000E+0	4.26600000E+0	4.36810000E+0	4.36600000E+0	4.36960000E+0	4.37080000E+0
3631213045.879	2019-01-24	16:17:25	93.117	3.17450571E+0	3.11158981E-1	2.19952518E+10	4.46029374E+9	6.15448928E-2	4.77797463E-3	8.14039323E-3	6.35223393E-4	5.64192169E-4	4.38119194E-5	4.66613193E-1	0.00000000E+0	1.48388702E+10	3.01372027E+9	1.01177804E+10	2.05792008E+9	5.28403074E-2	4.82021470E-3	4.71595365E-1	1.64258549E-2	1.06773067E-2	2.89513570E-3	4.66400933E+10	9.59638092E+9	2.06000000E+12	3.70800000E+11	1.28648682E+9	2.07205527E+0	1.16437741E-2	0.00000000E+0	1.96909694E-5	6.46856226E-7	7.74325599E-6	3.12553900E+3	1.25845480E+4	7.28623940E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	4.35589007E+0	1.05865679E+2	8.60189618E+2	4.33500000E+0	4.34500000E+0	4.30100000E+0	4.26500000E+0	4.36750000E+0	4.36500000E+0	4.36890000E+0	4.36890000E+0
3631213114.312	2019-01-24	16:18:34	93.117	2.44936456E+0	2.40093095E-1	2.23661821E+10	4.53238743E+9	3.59157030E-2	2.78861521E-3	4.64433113E-3	3.63942795E-4	3.35878101E-4	2.60900205E-5	4.71021140E-1	0.00000000E+0	1.50412199E+10	3.05265687E+9	1.02250195E+10	2.07822079E+9	3.09354938E-2	2.81238508E-3	4.76135191E-1	1.63596844E-2	1.08573700E-2	2.94282517E-3	4.69744361E+10	9.65498059E+9	2.06000000E+12	3.70800000E+11	1.28648689E+9	2.07205527E+0	1.31576611E-2	0.00000000E+0	1.14910430E-5	3.69050293E-7	4.60975934E-6	3.12553900E+3	1.25845480E+4	7.28623940E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	4.35555731E+0	1.05865679E+2	8.59929718E+2	4.34600000E+0	4.34600000E+0	4.30100000E+0	4.26500000E+0	4.36600000E+0	4.36400000E+0	4.36830000E+0	4.36740000E+0
3631213138.466	2019-01-24	16:18:58	93.117	2.43807268E+0	2.38986488E-1	2.22724119E+10	4.54313928E+9	3.67655374E-2	2.85458006E-3	5.65278600E-3	4.42183976E-4	3.32788358E-4	2.58501928E-5	4.36665382E-1	0.00000000E+0	1.53370311E+10	3.13386050E+9	1.06754372E+10	2.18497110E+9	3.07799630E-2	2.88874059E-3	4.41386543E-1	1.71685757E-2	1.08118505E-2	2.94130173E-3	5.04601064E+10	1.04783474E+10	2.06000000E+12	3.70800000E+11	1.28648692E+9	2.07205527E+0	1.31531964E-2	0.00000000E+0	1.17629431E-5	4.49184667E-7	4.56735415E-6	3.12553900E+3	1.25845480E+4	7.28623940E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	4.35530746E+0	1.05865679E+2	8.59734793E+2	4.34300000E+0	4.34500000E+0	4.30100000E+0	4.26500000E+0	4.36550000E+0	4.36410000E+0	4.36810000E+0	4.36750000E+0
3631213198.871	2019-01-24	16:19:58	93.117	6.42142809E+0	6.29384011E-1	1.99929689E+10	4.08701079E+9	2.86747640E-1	2.22584078E-2	4.65754868E-2	3.61849296E-3	2.30854357E-3	1.79209956E-4	4.25494377E-1	0.00000000E+0	1.38904762E+10	2.84456855E+9	9.74432201E+9	1.99893369E+9	2.37863609E-1	2.25513265E-2	4.29623938E-1	1.73450160E-2	9.70532471E-3	2.64349457E-3	4.65359752E+10	9.69674648E+9	2.06000000E+12	3.70800000E+11	1.28648674E+9	2.07205527E+0	1.42665590E-2	0.00000000E+0	9.17434208E-5	3.70100593E-6	3.16836085E-5	3.12553900E+3	1.25845480E+4	7.28623940E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	4.35514050E+0	1.05865679E+2	8.59604843E+2	4.34600000E+0	4.34500000E+0	4.30100000E+0	4.26500000E+0	4.37410000E+0	4.36910000E+0	4.37050000E+0	4.37650000E+0
3631213648.919	2019-01-24	16:27:28	93.117	4.37483583E+0	2.13011536E-1	2.12399654E+10	6.80831550E+8	1.21923200E-1	9.46459170E-3	1.69190689E-2	1.31656912E-3	1.08110964E-3	8.39354777E-5	4.57177802E-1	0.00000000E+0	1.44260236E+10	4.32780707E+8	9.89997484E+9	3.17213779E+8	1.03923022E-1	9.55609206E-3	4.61933816E-1	1.65762550E-2	1.04029850E-2	1.25195756E-3	4.59805381E+10	2.21241037E+9	2.04171835E+12	2.54279067E+11	1.28648647E+9	1.78468488E+0	1.06853252E-2	0.00000000E+0	3.89795916E-5	1.34543602E-6	1.48376903E-5	3.12787269E+3	1.25751568E+4	7.28623940E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	4.35738788E+0	1.05865679E+2	8.61359167E+2	4.34400000E+0	4.34500000E+0	4.30000000E+0	4.26500000E+0	4.36870000E+0	4.36560000E+0	4.36920000E+0	4.37110000E+0
3631213715.254	2019-01-24	16:28:35	93.117	3.94791292E+0	1.91234903E-1	2.14224986E+10	6.85563814E+8	9.79481860E-2	7.60363029E-3	1.31589745E-2	1.02472328E-3	8.80499290E-4	6.83639342E-5	4.63558010E-1	0.00000000E+0	1.44852716E+10	4.34558147E+8	9.89729923E+9	3.16610550E+8	8.39087122E-2	7.67267391E-3	4.68422373E-1	1.64290573E-2	1.04935384E-2	1.25877523E-3	4.57332950E+10	2.17137247E+9	2.04149429E+12	2.53456716E+11	1.28648674E+9	1.79201425E+0	1.25158283E-2	0.00000000E+0	3.13146332E-5	1.04642628E-6	1.20844134E-5	3.12787269E+3	1.25751568E+4	7.28623940E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	4.35609821E+0	1.05865679E+2	8.60352055E+2	4.34000000E+0	4.34500000E+0	4.30000000E+0	4.26500000E+0	4.36860000E+0	4.36470000E+0	4.36910000E+0	4.37020000E+0
3631213819.061	2019-01-24	16:30:19	93.117	5.00441768E+0	2.45152301E-1	2.08771434E+10	6.70476357E+8	1.63273239E-1	1.26742177E-2	2.35058324E-2	1.82782377E-3	1.41775386E-3	1.10066089E-4	4.49875466E-1	0.00000000E+0	1.42532053E+10	4.27596159E+8	9.83064106E+9	3.15594400E+8	1.38349653E-1	1.28058131E-2	4.54485616E-1	1.67441544E-2	1.02476142E-2	1.23799655E-3	4.59357628E+10	2.24509209E+9	2.03726869E+12	2.54667002E+11	1.28648680E+9	1.76330459E+0	1.34532433E-2	0.00000000E+0	5.21994516E-5	1.86922778E-6	1.94579643E-5	3.12787269E+3	1.25751568E+4	7.28623940E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	4.35551557E+0	1.05865679E+2	8.59897230E+2	4.34300000E+0	4.34500000E+0	4.30000000E+0	4.26500000E+0	4.37080000E+0	4.36570000E+0	4.36940000E+0	4.37190000E+0
3631213872.034	2019-01-24	16:31:12	93.117	3.00487926E+0	2.94534618E-1	2.19981233E+10	4.46952119E+9	5.56066291E-2	4.31704212E-3	7.75810274E-3	6.05552774E-4	5.10464956E-4	3.96415722E-5	4.56112198E-1	0.00000000E+0	1.49462655E+10	3.04161080E+9	1.02645013E+10	2.09207469E+9	4.73380614E-2	4.35948601E-3	4.61030635E-1	1.66835720E-2	1.07833938E-2	2.92707175E-3	4.77151008E+10	9.84719803E+9	2.04000000E+12	3.67200000E+11	1.28648658E+9	1.76330459E+0	1.29174055E-2	0.00000000E+0	1.77777789E-5	6.16938849E-7	7.00587680E-6	3.12787269E+3	1.25751568E+4	7.28623940E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	4.35705498E+0	1.05865679E+2	8.61099267E+2	4.34200000E+0	4.34500000E+0	4.30100000E+0	4.26500000E+0	4.36650000E+0	4.36420000E+0	4.36790000E+0	4.36820000E+0
