timestamp	date	time	Kappa	Eacc	std Eacc	Qo	std Qo	Pinc_correct	std Pinc_correct	Pref_correct	std Pref_correct	Pt_correct	std Pt_correct	B*	std B*	QL	std QL	Q0*	std Q0*	Ploss	std Ploss	B1	std B1	B2	std B2	Qext1	std Qext1	Qext2	std Qext2	Frequency [Hz]	tau	RadTop [mR/hr]	RadBot [mR/hr]	Pi_meas	Pr_meas	Pt_meas	ci	cr	ct	PHOMA_meas	PHOMB_meas	cHOMA	cHOMB	PHOMA_correct	std PHOMA_correct	PHOMB_correct	std PHOMB_correct	Qext_HOMA	std Qext_HOMA	Qext_HOMB	std Qext_HOMB	PHOMC_meas	PHOMD_meas	cHOMC	cHOMD	PHOMC_correct	std PHOMC_correct	PHOMD_correct	std PHOMD_correct	Qext_HOMC	std Qext_HOMC	Qext_HOMD	std Qext_HOMD	Dwr Temp from P	Pres 0-100T	Pres 0-1000T	TcavTop [K]	TcavUpMid[K]	TcavLoMid[K]	TcavBot[K]	AUX_RTD1[K]	AUX_RTD2[K]	AUX_RTD3[K]	AUX_RTD4[K]	
3766579249.977	2023-05-10	11:00:49	93.117	3.57455109E+0	2.20750872E+0	5.72951826E+10	4.77471325E+10	2.26359038E-1	1.75709270E-2	1.99960947E-1	1.55244461E-2	6.78327793E-4	5.26667752E-5	3.22683145E+1	0.00000000E+0	1.67796058E+9	5.03388174E+7	5.04371984E+7	4.20319790E+7	2.57197628E-2	2.34467199E-2	3.31193525E+1	2.84370010E+1	2.63737966E-2	2.41299955E-2	1.72996083E+9	2.06996834E+9	2.17242832E+12	2.68851681E+12	1.28668020E+9	2.07554076E-1	1.33854969E-2	0.00000000E+0	7.87561160E-5	1.56234729E-5	1.21781554E-5	2.87417726E+3	1.27987515E+4	5.57003725E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.99876288E+0	2.32669289E+1	2.44616838E+1	2.00230000E+0	2.00200000E+0	0.00000000E+0	2.00620000E+0	2.00140000E+0	2.00050000E+0	2.00040000E+0	2.00200000E+0
3766579587.019	2023-05-10	11:06:27	93.117	2.99406137E+0	1.89252580E+0	5.92499272E+10	5.05591821E+10	1.56931280E-1	1.21818839E-2	1.39009805E-1	1.07933673E-2	4.72270778E-4	3.66724617E-5	3.29961140E+1	0.00000000E+0	1.69691629E+9	5.09074887E+7	4.99150077E+7	4.25934734E+7	1.74492042E-2	1.62756388E-2	3.38891691E+1	2.97763118E+1	2.70654623E-2	2.53324763E-2	1.74834405E+9	2.14139015E+9	2.18913413E+12	2.77268933E+12	1.28668022E+9	2.09898785E-1	1.32061788E-2	0.00000000E+0	5.46004180E-5	1.08612004E-5	8.47877235E-6	2.87417726E+3	1.27987515E+4	5.57003725E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.99885942E+0	2.32734263E+1	2.45266572E+1	2.00220000E+0	2.00200000E+0	0.00000000E+0	2.00620000E+0	2.00150000E+0	2.00040000E+0	2.00040000E+0	2.00200000E+0
3766579705.345	2023-05-10	11:08:25	93.117	2.47052814E+0	1.54806153E+0	5.64215130E+10	4.77201275E+10	1.11289817E-1	8.63915381E-3	9.84790426E-2	7.64733707E-3	3.34729314E-4	2.59963894E-5	3.27182542E+1	0.00000000E+0	1.62960069E+9	4.88880206E+7	4.83299247E+7	4.08764038E+7	1.24760450E-2	1.15376522E-2	3.35960772E+1	2.92648879E+1	2.68297617E-2	2.48990876E-2	1.67940777E+9	2.03902738E+9	2.10294499E+12	2.64051517E+12	1.28668023E+9	2.01572231E-1	1.28527145E-2	0.00000000E+0	3.87205822E-5	7.69442571E-6	6.00946276E-6	2.87417726E+3	1.27987515E+4	5.57003725E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.99876288E+0	2.32669289E+1	2.44941705E+1	2.00220000E+0	2.00200000E+0	0.00000000E+0	2.00620000E+0	2.00150000E+0	2.00040000E+0	2.00030000E+0	2.00190000E+0
3766580171.470	2023-05-10	11:16:11	93.117	2.50618157E+0	1.56938389E+0	5.90485462E+10	9.22567885E+10	1.10810037E-1	8.60191291E-3	9.82102006E-2	7.62646934E-3	3.32284910E-4	2.58066530E-5	3.31480776E+1	0.00000000E+0	1.68358843E+9	3.00140363E+9	4.93025830E+7	9.75226076E+7	1.22675519E-2	1.14959387E-2	3.40459427E+1	3.01119360E+1	2.70864891E-2	5.41970718E-2	1.73437836E+9	3.11383025E+9	2.18000000E+12	2.72500000E+12	1.28668023E+9	2.01572231E-1	9.37859786E-3	0.00000000E+0	3.85536546E-5	7.67342038E-6	5.96557788E-6	2.87417726E+3	1.27987515E+4	5.57003725E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.99876288E+0	2.32669289E+1	2.45266572E+1	2.00230000E+0	2.00190000E+0	0.00000000E+0	2.00610000E+0	2.00150000E+0	2.00010000E+0	2.00020000E+0	2.00170000E+0
3766580198.426	2023-05-10	11:16:38	93.117	2.02452091E+0	1.26776695E+0	6.05115731E+10	9.53290674E+10	7.20886434E-2	5.59632472E-3	6.40600616E-2	4.97571106E-3	2.16835351E-4	1.68453873E-5	3.38864934E+1	0.00000000E+0	1.68768125E+9	3.04457152E+9	4.83763511E+7	9.70447298E+7	7.81174644E-3	7.48844675E-3	3.48271012E+1	3.15148051E+1	2.77576023E-2	5.58220506E-2	1.73748520E+9	3.15661984E+9	2.18000000E+12	2.72500000E+12	1.28668023E+9	2.01572231E-1	1.03014829E-2	0.00000000E+0	2.50814883E-5	5.00518051E-6	3.89288871E-6	2.87417726E+3	1.27987515E+4	5.57003725E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.99876288E+0	2.32669289E+1	2.45591440E+1	2.00220000E+0	2.00190000E+0	0.00000000E+0	2.00620000E+0	2.00150000E+0	2.00010000E+0	2.00020000E+0	2.00170000E+0
3766580220.753	2023-05-10	11:17:00	93.117	1.55630000E+0	9.74566497E-1	6.04750886E+10	9.52806889E+10	4.26256773E-2	3.30938404E-3	3.78784962E-2	2.94348570E-3	1.28136303E-4	9.96054907E-6	3.38871126E+1	0.00000000E+0	1.68666122E+9	3.04316555E+9	4.83462544E+7	9.70010606E+7	4.61904475E-3	4.42902134E-3	3.48271705E+1	3.15241248E+1	2.77408663E-2	5.57916631E-2	1.73643416E+9	3.15516677E+9	2.18000000E+12	2.72500000E+12	1.28668024E+9	2.01572231E-1	1.05847023E-2	0.00000000E+0	1.48305666E-5	2.95954619E-6	2.30045684E-6	2.87417726E+3	1.27987515E+4	5.57003725E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.99876288E+0	2.32669289E+1	2.44941705E+1	2.00220000E+0	2.00190000E+0	0.00000000E+0	2.00610000E+0	2.00150000E+0	2.00010000E+0	2.00020000E+0	2.00170000E+0
3766580244.576	2023-05-10	11:17:24	93.117	1.03793609E+0	6.49967863E-1	6.01196277E+10	9.46896709E+10	1.90412865E-2	1.47874447E-3	1.69176425E-2	1.31651803E-3	5.69936906E-5	4.43857826E-6	3.38357538E+1	0.00000000E+0	1.67948586E+9	3.02890817E+9	4.82115550E+7	9.66830102E+7	2.06665028E-3	1.97987995E-3	3.47688699E+1	3.14484216E+1	2.75778109E-2	5.54525997E-2	1.72912229E+9	3.14054023E+9	2.18000000E+12	2.72500000E+12	1.28668024E+9	2.01572231E-1	1.03006618E-2	0.00000000E+0	6.62495203E-6	1.32181975E-6	1.02321920E-6	2.87417726E+3	1.27987515E+4	5.57003725E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.99885942E+0	2.32734263E+1	2.45591440E+1	2.00230000E+0	2.00190000E+0	0.00000000E+0	2.00610000E+0	2.00150000E+0	2.00010000E+0	2.00020000E+0	2.00170000E+0
3766580273.295	2023-05-10	11:17:53	93.117	5.72222060E-1	3.58343524E-1	6.24347090E+10	9.96470526E+10	5.74269044E-3	4.46501853E-4	5.12052130E-3	4.00947856E-4	1.73226666E-5	1.36001773E-6	3.48917854E+1	0.00000000E+0	1.69109386E+9	3.10770446E+9	4.71164597E+7	9.66049170E+7	6.04846468E-4	6.00104105E-4	3.58910785E+1	3.36317731E+1	2.86397748E-2	5.80602497E-2	1.73956068E+9	3.21952454E+9	2.18000000E+12	2.72500000E+12	1.28668024E+9	2.01572231E-1	1.03008857E-2	0.00000000E+0	1.99802932E-6	4.00079750E-7	3.10997321E-7	2.87417726E+3	1.27987515E+4	5.57003725E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.99876288E+0	2.32669289E+1	2.45266572E+1	2.00230000E+0	2.00190000E+0	0.00000000E+0	2.00610000E+0	2.00150000E+0	2.00010000E+0	2.00020000E+0	2.00170000E+0
3766580316.554	2023-05-10	11:18:36	93.117	3.02242489E+0	1.89265686E+0	6.29815810E+10	1.02467845E+11	1.67008694E-1	1.29641016E-2	1.49797590E-1	1.16307241E-2	4.83277514E-4	3.75268133E-5	3.67869892E+1	0.00000000E+0	1.61995166E+9	3.05877510E+9	4.28706202E+7	9.07440913E+7	1.67278268E-2	1.74167471E-2	3.78497886E+1	3.72564772E+1	2.88906335E-2	5.92748523E-2	1.66398766E+9	3.16414119E+9	2.18000000E+12	2.72500000E+12	1.28668021E+9	2.01572231E-1	1.17956572E-2	0.00000000E+0	5.81066089E-5	1.17040783E-5	8.67637849E-6	2.87417726E+3	1.27987515E+4	5.57003725E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.99881120E+0	2.32701776E+1	2.45266572E+1	2.00230000E+0	2.00190000E+0	0.00000000E+0	2.00610000E+0	2.00150000E+0	2.00010000E+0	2.00020000E+0	2.00170000E+0
3766580338.309	2023-05-10	11:18:58	93.117	3.55282484E+0	2.22479493E+0	6.03809688E+10	9.57541650E+10	2.26297279E-1	1.75661332E-2	2.01519923E-1	1.56454551E-2	6.67779601E-4	5.18480158E-5	3.45039370E+1	0.00000000E+0	1.65484827E+9	3.01390624E+9	4.66102752E+7	9.45659936E+7	2.41095756E-2	2.35234349E-2	3.54596164E+1	3.26782889E+1	2.76976921E-2	5.59285472E-2	1.70280942E+9	3.12322697E+9	2.18000000E+12	2.72500000E+12	1.28668020E+9	2.01572231E-1	1.15334778E-2	0.00000000E+0	7.87346284E-5	1.57452798E-5	1.19887816E-5	2.87417726E+3	1.27987515E+4	5.57003725E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.99876288E+0	2.32669289E+1	2.45591440E+1	2.00210000E+0	2.00200000E+0	0.00000000E+0	2.00610000E+0	2.00150000E+0	2.00010000E+0	2.00020000E+0	2.00170000E+0
3766580356.865	2023-05-10	11:19:16	93.117	4.01245498E+0	2.51261682E+0	5.92575591E+10	9.33865601E+10	2.89488749E-1	2.24711103E-2	2.57302810E-1	1.99753704E-2	8.51737757E-4	6.61270025E-5	3.39475879E+1	0.00000000E+0	1.65074122E+9	2.97981802E+9	4.72347684E+7	9.48323461E+7	3.13342017E-2	3.00661038E-2	3.48703637E+1	3.16006137E+1	2.71823666E-2	5.46770966E-2	1.69936739E+9	3.08932314E+9	2.18000000E+12	2.72500000E+12	1.28668019E+9	2.01572231E-1	1.09248791E-2	0.00000000E+0	1.00720562E-4	2.01037429E-5	1.52914194E-5	2.87417726E+3	1.27987515E+4	5.57003725E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.99881120E+0	2.32701776E+1	2.45266572E+1	2.00220000E+0	2.00190000E+0	0.00000000E+0	2.00610000E+0	2.00150000E+0	2.00010000E+0	2.00020000E+0	2.00170000E+0
3766580376.735	2023-05-10	11:19:36	93.117	4.50894012E+0	2.82351748E+0	5.60526225E+10	8.62645123E+10	3.62780422E-1	2.81600739E-2	3.19874170E-1	2.48322133E-2	1.07555962E-3	8.35002466E-5	3.17892948E+1	0.00000000E+0	1.66662669E+9	2.90713134E+9	5.08283787E+7	9.79615951E+7	4.18306918E-2	3.75451136E-2	3.26066679E+1	2.76145645E+1	2.57122122E-2	5.09789267E-2	1.71905399E+9	3.01973420E+9	2.18000000E+12	2.72500000E+12	1.28668018E+9	2.01572231E-1	1.10243611E-2	0.00000000E+0	1.26220615E-4	2.49926073E-5	1.93097384E-5	2.87417726E+3	1.27987515E+4	5.57003725E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.99890774E+0	2.32766749E+1	2.44941705E+1	2.00230000E+0	2.00190000E+0	0.00000000E+0	2.00620000E+0	2.00150000E+0	2.00010000E+0	2.00020000E+0	2.00170000E+0
3766580398.135	2023-05-10	11:19:58	93.117	4.98159373E+0	3.11949481E+0	5.47483924E+10	8.36500546E+10	4.44224824E-1	3.44818596E-2	3.90635358E-1	3.03247580E-2	1.31287134E-3	1.01920586E-4	3.11254948E+1	0.00000000E+0	1.66245312E+9	2.86937062E+9	5.17487163E+7	9.84774008E+7	5.22765946E-2	4.59194945E-2	3.19071787E+1	2.64392661E+1	2.51139415E-2	4.95768391E-2	1.71586442E+9	2.98240058E+9	2.18000000E+12	2.72500000E+12	1.28668016E+9	2.01572231E-1	1.09249912E-2	0.00000000E+0	1.54557212E-4	3.05213644E-5	2.35702434E-5	2.87417726E+3	1.27987515E+4	5.57003725E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.99881120E+0	2.32701776E+1	2.45591440E+1	2.00220000E+0	2.00200000E+0	0.00000000E+0	2.00620000E+0	2.00150000E+0	2.00010000E+0	2.00020000E+0	2.00170000E+0
3766580471.561	2023-05-10	11:21:11	93.117	5.50730021E+0	3.44869407E+0	5.02331254E+10	7.61445612E+10	5.78210320E-1	4.48819307E-2	5.06970450E-1	3.93547888E-2	1.60458621E-3	1.24563747E-4	3.04326866E+1	0.00000000E+0	1.56212193E+9	2.66562663E+9	4.96973723E+7	9.32953230E+7	6.96352839E-2	5.96925676E-2	3.11339384E+1	2.52001829E+1	2.30427181E-2	4.52730565E-2	1.61345233E+9	2.77254270E+9	2.18000000E+12	2.72500000E+12	1.28668014E+9	2.01572231E-1	9.37308888E-3	0.00000000E+0	2.01174203E-4	3.96109300E-5	2.88074593E-5	2.87417726E+3	1.27987515E+4	5.57003725E+1	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.00000000E+0	1.00000000E+0	1.00000000E-12	0.00000000E+0	1.00000000E-12	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0	1.99881120E+0	2.32701776E+1	2.45266572E+1	2.00220000E+0	2.00200000E+0	0.00000000E+0	2.00620000E+0	2.00150000E+0	2.00010000E+0	2.00020000E+0	2.00170000E+0
